"oldcode";"dis_code";"dis_nom";"dep_code";"dep_nom";"spr_code";"spr_nom";"pop";"men";"camion_public";"precollecteur";"depot_amenage";"depot_sauvage";"nature";"brule";"enterre";"autre"
"CI010101";"A";"Abidjan";"A1";"Abidjan";"A101";"Abidjan";5616633;1261750;620967;319715;133541;104830;76421;4553;1634;89
"CI010102";"A";"Abidjan";"A1";"Abidjan";"A102";"Anyama";389592;80147;18620;6835;13416;22035;17911;1245;59;26
"CI010103";"A";"Abidjan";"A1";"Abidjan";"A103";"Bingerville";204656;46607;12739;14060;8842;5364;5033;549;14;6
"CI010104";"A";"Abidjan";"A1";"Abidjan";"A104";"Brofodoumé";20357;5088;23;28;558;879;3566;32;1;1
"CI010105";"A";"Abidjan";"A1";"Abidjan";"A105";"Songon";89778;20544;8733;1387;2504;1561;6220;126;13;0
"CI020101";"B";"Yamoussoukro";"B1";"Attiégouakro";"B101";"Attiégouakro";14863;2819;694;189;63;514;1318;41;0;0
"CI020102";"B";"Yamoussoukro";"B1";"Attiégouakro";"B102";"Lolobo";34650;6513;1;1;78;1737;4623;69;4;0
"CI020201";"B";"Yamoussoukro";"B1";"Yamoussoukro";"B103";"Yamoussoukro";340234;67394;38149;5059;5674;6443;10293;1641;25;110
"CI020202";"B";"Yamoussoukro";"B1";"Yamoussoukro";"B104";"Kossou";32326;6034;17;30;191;830;4419;534;13;0
"CI290102";"C";"Bas-Sassandra";"C1";"San Pédro";"C101";"Doba";95246;17498;570;54;556;4764;10637;531;355;31
"CI290103";"C";"Bas-Sassandra";"C1";"San Pédro";"C102";"Dogbo";61632;10015;3;0;43;2190;7254;264;260;1
"CI290104";"C";"Bas-Sassandra";"C1";"San Pédro";"C103";"Gabiadji";113369;20666;80;18;825;6036;12710;770;227;0
"CI290105";"C";"Bas-Sassandra";"C1";"San Pédro";"C104";"Grand-Béréby";129340;26269;1433;889;1641;5302;14839;1407;755;3
"CI290101";"C";"Bas-Sassandra";"C1";"San Pédro";"C105";"San-Pédro";390654;75903;25884;8267;5440;14826;19003;2028;453;2
"CI290202";"C";"Bas-Sassandra";"C2";"Tabou";"C201";"Dapo-Iboké";20368;4647;582;189;364;537;2355;210;410;0
"CI290203";"C";"Bas-Sassandra";"C2";"Tabou";"C202";"Djamandioké";22824;3372;277;116;361;842;1690;81;5;0
"CI290204";"C";"Bas-Sassandra";"C2";"Tabou";"C203";"Djouroutou";91316;15377;110;401;329;3787;9745;690;315;0
"CI290205";"C";"Bas-Sassandra";"C2";"Tabou";"C204";"Grabo";53824;9789;213;6;567;1808;6948;122;125;0
"CI290206";"C";"Bas-Sassandra";"C2";"Tabou";"C205";"Olodio";19429;4786;8;4;521;1389;2497;112;255;0
"CI290201";"C";"Bas-Sassandra";"C2";"Tabou";"C206";"Tabou";62719;9743;275;267;830;2575;4992;654;150;0
"CI260101";"C";"Bas-Sassandra";"C3";"Buyo";"C301";"Buyo";100848;15769;1434;44;321;2128;10805;991;45;1
"CI260102";"C";"Bas-Sassandra";"C3";"Buyo";"C302";"Dapéoua";75721;11922;32;0;46;2127;9231;455;31;0
"CI260202";"C";"Bas-Sassandra";"C4";"Guéyo";"C401";"Dabouyo";45751;7579;19;12;187;2152;4954;236;19;0
"CI260201";"C";"Bas-Sassandra";"C4";"Guéyo";"C402";"Guéyo";56462;10230;555;145;340;2621;5982;536;51;0
"CI260402";"C";"Bas-Sassandra";"C6";"Méagui";"C501";"Gnanmangui";83794;13047;1;2;35;5911;6844;130;124;0
